twz0_Axial_Position_dat(um),twz0_Axial_Stark_shift_dat(MHz),twz1_Axial_Position_dat(um),twz1_Axial_Stark_shift_dat(MHz),twz2_Axial_Position_dat(um),twz2_Axial_Stark_shift_dat(MHz),twz3_Axial_Position_dat(um),twz3_Axial_Stark_shift_dat(MHz),twz4_Axial_Position_dat(um),twz4_Axial_Stark_shift_dat(MHz)
-0.29165326633165833,-1.1687849444491492,-0.29165326633165833,5.4130461816607784,-0.29165326633165833,21.14859446832043,-0.29165326633165833,36.449076996113966,-0.29165326633165833,29.485652882215398
-0.2827185929648241,-1.1551146666370462,-0.2827185929648241,5.332779331677468,-0.2827185929648241,20.907277216155876,-0.2827185929648241,36.143897787316234,-0.2827185929648241,29.05308931707068
-0.2737839195979899,-1.1390063473317862,-0.2737839195979899,5.244175697229762,-0.2737839195979899,20.63983608419853,-0.2737839195979899,35.804956672585206,-0.2737839195979899,28.59285469897609
-0.2648492462311558,-1.1206161586334318,-0.2648492462311558,5.147683787357597,-0.2648492462311558,20.347633330224987,-0.2648492462311558,35.4340268463427,-0.2648492462311558,28.107173970490955
-0.25591457286432157,-1.1001223956412507,-0.25591457286432157,5.043792041323404,-0.25591457286432157,20.032157339626934,-0.25591457286432157,35.03304885421801,-0.25591457286432157,27.598395089983832
-0.24697989949748744,-1.077723747861207,-0.24697989949748744,4.933026356146664,-0.24697989949748744,19.695015044062103,-0.24697989949748744,34.60412044094616,-0.24697989949748744,27.06897768074255
-0.2380452261306533,-1.053637372887217,-0.2380452261306533,4.815947424528373,-0.2380452261306533,19.337923736269232,-0.2380452261306533,34.149485575867914,-0.2380452261306533,26.521481140255165
-0.2291105527638191,-1.0280967910320646,-0.2291105527638191,4.693147896640775,-0.2291105527638191,18.96270232273977,-0.2291105527638191,33.67152271344537,-0.2291105527638191,25.958552267145958
-0.22017587939698494,-1.0013496213197801,-0.22017587939698494,4.5652493801493,-0.22017587939698494,18.571262058802247,-0.22017587939698494,33.17273235020919,-0.22017587939698494,25.382912465582315
-0.21124120603015076,-0.9736551807893131,-0.21124120603015076,4.4328992936525005,-0.21124120603015076,18.165596813311915,-0.21124120603015076,32.65572394323411,-0.21124120603015076,24.797344589011125
-0.2023065326633166,-0.9452819703845387,-0.2023065326633166,4.296767589467798,-0.2023065326633166,17.74777291253399,-0.2023065326633166,32.1232022585796,-0.2023065326633166,24.20467948682689
-0.1933718592964824,-0.9165050718051954,-0.1933718592964824,4.1575433623521905,-0.1933718592964824,17.319918614952552,-0.1933718592964824,31.577953221114882,-0.1933718592964824,23.607782319009832
-0.18443718592964825,-0.8876034805566033,-0.18443718592964825,4.0159313613244825,-0.18443718592964825,16.884213270616957,-0.18443718592964825,31.022829339755855,-0.18443718592964825,23.009538704894105
-0.1755025125628141,-0.8588574010545619,-0.1755025125628141,3.8726484222460957,-0.1755025125628141,16.44287622024447,-0.1755025125628141,30.46073478436291,-0.1755025125628141,22.412840773027987
-0.1665678391959799,-0.8305455300097161,-0.1665678391959799,3.7284198392186316,-0.1665678391959799,15.998155490623521,-0.1665678391959799,29.89461019237081,-0.1665678391959799,21.820573179566132
-0.15763316582914572,-0.8029423544293065,-0.15763316582914572,3.5839756931660642,-0.15763316582914572,15.552316343899484,-0.15763316582914572,29.327417284635924,-0.15763316582914572,21.235599162786137
