Delta/Gamma,photon counts/10^3 (odt=0),photon counts/10^3 (odt=1),photon counts/10^3 (odt=2),photon counts/10^3 (odt=3),photon counts/10^3 (odt=4),photon counts/10^3 (odt=5)
-5.646464646464647,20.24085032076256,25.159725567971776,32.237258140445945,43.07952141352522,63.64119619556046,99.72885183795398
-5.505050505050505,20.74174543509692,25.83332649160526,33.21278255866767,44.64304580006082,66.60125780861894,105.64796284380789
-5.363636363636364,21.26146653089462,26.534345492078838,34.233266549566096,46.29326055732738,69.77274285065431,112.11011511960818
-5.222222222222222,21.800968989331853,27.264291037060563,35.30151593295346,48.0366949553554,73.1762760227013,119.18382601485187
-5.080808080808081,22.361269574133818,28.02477677899421,36.420558873731736,49.88050474894635,76.83505972637823,126.94877019673498
-4.9393939393939394,22.94345122565234,28.817530480814707,37.59366736540934,51.83254572026727,80.77527055047142,135.49803305332395
-4.797979797979798,23.548668297527808,29.64440383797426,38.82438117495422,53.901457494058114,85.02652877468196,144.94091350043774
-4.6565656565656575,24.178152283254683,30.507383301139065,40.11653457661485,56.09675929867428,89.622456672668,155.40643478581174
-4.515151515151516,24.83321808573849,31.40860201778805,41.47428625223228,58.42895965915281,94.6013453404198,167.04777530881805
-4.373737373737374,25.51527088949279,32.35035302689539,42.902152794044625,60.90968238787651,100.00695484618181,180.0479056702896
-4.232323232323232,26.225813702598835,33.33510385925741,44.405046314705594,63.55181170005992,105.88947905876373,194.62682237657197
-4.090909090909092,26.96645564407978,34.36551271724156,45.98831675020592,66.36965984524511,112.30671505866277,211.05091676056003
-3.94949494949495,27.73892106209225,35.44444643228461,47.65779953704895,69.37916133778735,119.3254882535263,229.64523101317664
-3.808080808080808,28.545059579505384,36.57500042692894,49.41986945837446,72.59809872153298,127.02339915269715,250.80966474677908
-3.666666666666668,29.386857176251535,37.7605209412617,51.28150158841134,76.04636585844554,135.49097752981913,275.0406573473727
-3.525252525252526,30.266448432564204,39.00462982214384,53.250340425175686,79.74627604193807,144.83435629039582,302.96056731460817
-3.383838383838384,31.18613007418763,40.31125221858985,55.33477849327916,83.72292387342868,155.17861343728342,335.35803731239713
-3.242424242424242,32.148375980229616,41.684647579293966,57.54404592897126,88.00461189702634,166.67197995329855,373.24430324499275
-3.101010101010102,33.15585383698427,43.12944441005118,59.888312836687376,92.62335558305551,179.4911798388573,417.9330730562143
-2.9595959595959602,34.2114436473126,44.65067932146504,62.378806541135496,97.61548354617584,193.84826430144494,471.15596352106667
-2.8181818181818183,35.31825833567727,46.25384098301462,65.0279462647806,103.02235409105678,209.99943770879696,535.2328060785476
-2.6767676767676765,36.47966672445237,47.944919700893934,67.84949825443259,108.89121458358474,228.25656742607626,613.3287850638312
-2.5353535353535364,37.69931919858989,49.730463457244625,70.85875498397182,115.27623713449167,249.00235246427684,709.8529528736102
-2.3939393939393945,38.98117642423412,51.61764139141309,74.07274280036428,122.23977318104795,272.71054315296266,831.0944718874092
-2.2525252525252526,40.32954154377246,53.61431587452719,77.5104632919251,129.8538814834171,299.97322965335064,986.2736266948546
-2.1111111111111107,41.74909633672033,55.729124533004295,81.19317478613819,138.20219981625698,331.5381714267376,1189.3480693935512
-1.9696969696969706,43.244941914731115,57.97157382201347,85.14472178716791,147.38225163256612,368.36062322150224,1462.264743460478
-1.8282828282828287,44.82264461230409,60.35214604570443,89.39192191578475,157.5083071814601,411.6764673385606,1841.1486106605514
-1.6868686868686869,46.48828784537343,62.88242207879245,93.9650221151358,168.71495679313244,463.1072839685041,2388.9022364527673
-1.5454545454545467,48.24853084150867,65.5752224784515,98.8982386639679,181.16160636784912,524.8143545316241,3223.10319793815
-1.4040404040404049,50.11067530238319,68.44477020484072,104.23039906571346,195.03817745308604,599.7294871495711,4584.794713996605
-1.262626262626263,52.08274124696468,71.50687881634458,110.00570838531083,210.57239542722783,691.9097980379846,7034.370467866196
-1.121212121212121,54.17355350936652,74.77917080153048,116.27466839171935,228.03919234972494,807.098798712453,12135.83761531195
-0.979797979797981,56.39284063695636,78.28133169206993,123.09518534637346,247.77295591053291,953.6432159862499,25748.904741442853
-0.8383838383838391,58.75134826277046,82.03540681855728,130.53391201976066,270.18365333932957,1144.0487443649074,87205.12109562369
-0.6969696969696972,61.26096942486536,86.0661490878939,138.66788229385992,295.77829727916657,1397.7393220722,3419802.555322369
-0.5555555555555554,63.934894790785364,90.40142805950256,147.58651358978827,325.1898763431432,1746.214703159477,188246.0097651668
